"$\lambda$ $(nm)$","$n$","$\kappa$"
301.418,1.909,0.552
303.014,1.905,0.558
304.610,1.901,0.565
306.206,1.898,0.573
307.803,1.894,0.580
309.399,1.892,0.589
310.995,1.889,0.597
312.592,1.887,0.607
314.188,1.886,0.616
315.785,1.885,0.626
317.381,1.885,0.636
318.977,1.885,0.647
320.574,1.887,0.658
322.171,1.888,0.669
323.767,1.891,0.680
325.364,1.894,0.691
326.960,1.898,0.702
328.557,1.903,0.714
330.154,1.909,0.725
331.750,1.915,0.737
333.347,1.923,0.748
334.944,1.931,0.758
336.541,1.940,0.769
338.137,1.950,0.779
339.734,1.961,0.789
341.331,1.972,0.798
342.928,1.984,0.806
344.525,1.997,0.814
346.122,2.010,0.821
347.719,2.024,0.827
349.316,2.039,0.832
350.913,2.054,0.837
352.510,2.069,0.840
354.107,2.084,0.843
355.704,2.100,0.845
357.301,2.115,0.846
358.898,2.131,0.846
360.495,2.147,0.844
362.092,2.162,0.843
363.689,2.177,0.840
365.286,2.192,0.836
366.883,2.207,0.832
368.481,2.221,0.826
370.078,2.234,0.820
371.675,2.247,0.814
373.272,2.260,0.807
374.869,2.272,0.799
376.467,2.283,0.791
378.064,2.294,0.783
379.661,2.304,0.774
381.258,2.314,0.764
382.856,2.323,0.755
384.453,2.331,0.745
386.050,2.339,0.736
387.648,2.346,0.726
389.245,2.353,0.716
390.842,2.359,0.706
392.440,2.364,0.696
394.037,2.369,0.686
395.634,2.374,0.676
397.232,2.378,0.666
398.829,2.381,0.657
400.427,2.384,0.647
402.024,2.387,0.638
403.622,2.389,0.628
405.219,2.391,0.619
406.816,2.393,0.610
408.414,2.394,0.602
410.011,2.395,0.593
411.609,2.396,0.585
413.206,2.396,0.577
414.804,2.396,0.569
416.401,2.396,0.561
417.999,2.396,0.554
419.596,2.396,0.547
421.194,2.395,0.540
422.791,2.394,0.533
424.389,2.393,0.526
425.986,2.392,0.520
427.584,2.391,0.514
429.181,2.390,0.508
430.779,2.388,0.502
432.376,2.387,0.497
433.974,2.385,0.492
435.571,2.384,0.486
437.169,2.382,0.482
438.766,2.380,0.477
440.364,2.378,0.472
441.961,2.377,0.468
443.559,2.375,0.464
445.156,2.373,0.460
446.754,2.371,0.456
448.351,2.369,0.452
449.949,2.367,0.448
451.546,2.365,0.445
453.144,2.363,0.442
454.741,2.361,0.439
456.339,2.359,0.436
457.936,2.357,0.433
459.533,2.355,0.430
461.131,2.353,0.428
462.728,2.351,0.425
464.326,2.350,0.423
465.923,2.348,0.421
467.521,2.346,0.419
469.118,2.344,0.417
470.716,2.342,0.415
472.313,2.341,0.414
473.910,2.339,0.412
475.508,2.337,0.411
477.105,2.336,0.409
478.703,2.334,0.408
480.300,2.333,0.407
481.897,2.331,0.406
483.495,2.330,0.405
485.092,2.329,0.404
486.689,2.327,0.403
488.287,2.326,0.402
489.884,2.325,0.402
491.481,2.324,0.401
493.078,2.323,0.401
494.676,2.322,0.400
496.273,2.321,0.400
497.870,2.320,0.400
499.467,2.320,0.399
501.065,2.319,0.399
502.662,2.319,0.399
504.259,2.318,0.399
505.856,2.318,0.399
507.453,2.317,0.399
509.050,2.317,0.399
510.648,2.317,0.399
512.245,2.317,0.399
513.842,2.317,0.399
515.439,2.317,0.399
517.036,2.317,0.399
518.633,2.317,0.400
520.230,2.317,0.400
521.827,2.318,0.400
523.424,2.318,0.400
525.021,2.319,0.400
526.618,2.319,0.401
528.215,2.320,0.401
529.812,2.321,0.401
531.408,2.322,0.401
533.005,2.323,0.401
534.602,2.324,0.401
536.199,2.325,0.402
537.796,2.326,0.402
539.392,2.327,0.402
540.989,2.328,0.402
542.586,2.330,0.402
544.182,2.331,0.402
545.779,2.332,0.402
547.376,2.334,0.402
548.972,2.335,0.402
550.569,2.337,0.401
552.165,2.339,0.401
553.762,2.340,0.401
555.358,2.342,0.401
556.955,2.344,0.400
558.551,2.346,0.400
560.148,2.348,0.399
561.744,2.350,0.399
563.340,2.352,0.398
564.937,2.354,0.398
566.533,2.356,0.397
568.129,2.358,0.396
569.726,2.360,0.395
571.322,2.362,0.394
572.918,2.364,0.393
574.514,2.366,0.392
576.110,2.368,0.391
577.706,2.370,0.390
579.302,2.373,0.389
580.898,2.375,0.388
582.494,2.377,0.386
584.090,2.379,0.385
585.686,2.381,0.383
587.282,2.383,0.382
588.878,2.385,0.380
590.474,2.387,0.378
592.069,2.390,0.377
593.665,2.392,0.375
595.261,2.394,0.373
596.857,2.396,0.371
598.452,2.398,0.369
600.048,2.400,0.367
601.643,2.401,0.365
603.239,2.403,0.363
604.834,2.405,0.361
606.430,2.407,0.359
608.025,2.409,0.356
609.620,2.410,0.354
611.216,2.412,0.352
612.811,2.414,0.349
614.406,2.415,0.347
616.001,2.417,0.344
617.597,2.418,0.342
619.192,2.420,0.339
620.787,2.421,0.337
622.382,2.422,0.334
623.977,2.424,0.332
625.572,2.425,0.329
627.167,2.426,0.326
628.761,2.427,0.324
630.356,2.428,0.321
631.951,2.429,0.318
633.546,2.430,0.316
635.140,2.431,0.313
636.735,2.432,0.310
638.329,2.432,0.308
639.924,2.433,0.305
641.519,2.434,0.302
643.113,2.434,0.299
644.707,2.435,0.297
646.302,2.435,0.294
647.896,2.436,0.291
649.490,2.436,0.289
651.084,2.437,0.286
652.679,2.437,0.283
654.273,2.437,0.281
655.867,2.437,0.278
657.461,2.437,0.276
659.055,2.437,0.273
660.649,2.437,0.271
662.242,2.437,0.268
663.836,2.437,0.266
665.430,2.437,0.263
667.024,2.437,0.261
668.617,2.437,0.259
670.211,2.437,0.256
671.804,2.436,0.254
673.398,2.436,0.252
674.991,2.436,0.250
676.584,2.435,0.248
678.178,2.435,0.245
679.771,2.434,0.243
681.364,2.434,0.241
682.957,2.433,0.240
684.550,2.433,0.238
686.143,2.432,0.236
687.736,2.432,0.234
689.329,2.431,0.233
690.922,2.431,0.231
692.515,2.430,0.229
694.108,2.430,0.228
695.700,2.429,0.227
697.293,2.428,0.225
698.885,2.428,0.224
700.478,2.427,0.223
702.070,2.427,0.222
703.663,2.426,0.221
705.255,2.426,0.220
706.847,2.425,0.219
708.439,2.425,0.218
710.031,2.425,0.218
711.623,2.425,0.217
713.215,2.424,0.217
714.807,2.424,0.216
716.399,2.424,0.216
717.991,2.424,0.216
719.583,2.425,0.216
721.174,2.425,0.216
722.766,2.426,0.216
724.358,2.426,0.216
725.949,2.427,0.216
727.540,2.428,0.216
729.132,2.430,0.216
730.723,2.431,0.217
732.314,2.433,0.217
733.905,2.435,0.217
735.496,2.438,0.217
737.087,2.440,0.217
738.678,2.444,0.217
740.269,2.447,0.217
741.860,2.451,0.216
743.451,2.455,0.215
745.041,2.460,0.214
746.632,2.465,0.212
748.222,2.470,0.209
749.813,2.475,0.206
751.403,2.480,0.202
752.993,2.485,0.197
754.583,2.491,0.192
756.174,2.495,0.186
757.764,2.499,0.179
759.354,2.503,0.171
760.944,2.506,0.163
762.533,2.507,0.154
764.123,2.508,0.145
765.713,2.508,0.136
767.302,2.507,0.127
768.892,2.505,0.118
770.481,2.503,0.110
772.071,2.500,0.102
773.660,2.496,0.095
775.249,2.491,0.088
776.838,2.487,0.082
778.427,2.482,0.077
780.016,2.477,0.072
781.605,2.472,0.068
783.194,2.466,0.064
784.783,2.461,0.061
786.371,2.456,0.058
787.960,2.452,0.055
789.548,2.447,0.053
791.137,2.442,0.051
792.725,2.438,0.050
794.314,2.434,0.048
795.902,2.430,0.047
797.490,2.426,0.046
799.078,2.422,0.045
800.666,2.419,0.045
802.253,2.416,0.044
803.841,2.413,0.044
805.429,2.410,0.043
807.016,2.407,0.042
808.604,2.405,0.042
810.191,2.402,0.041
811.779,2.400,0.041
813.366,2.397,0.040
814.953,2.395,0.040
816.540,2.393,0.039
818.127,2.390,0.039
819.714,2.388,0.038
821.301,2.386,0.038
822.887,2.384,0.037
824.474,2.382,0.037
826.061,2.380,0.036
827.647,2.378,0.036
829.233,2.376,0.036
830.820,2.374,0.035
832.406,2.372,0.035
833.992,2.371,0.034
835.578,2.369,0.034
837.164,2.367,0.034
838.749,2.365,0.033
840.335,2.364,0.033
841.921,2.362,0.033
843.506,2.360,0.032
845.092,2.359,0.032
846.677,2.357,0.032
848.262,2.356,0.032
849.847,2.354,0.031
851.432,2.353,0.031
853.017,2.351,0.031
854.602,2.350,0.031
856.187,2.348,0.030
857.772,2.347,0.030
859.356,2.345,0.030
860.941,2.344,0.030
862.525,2.343,0.030
864.109,2.341,0.029
865.693,2.340,0.029
867.277,2.338,0.029
868.861,2.337,0.029
870.445,2.336,0.029
872.029,2.335,0.028
873.613,2.333,0.028
875.196,2.332,0.028
876.780,2.331,0.028
878.363,2.330,0.028
879.946,2.328,0.028
881.529,2.327,0.028
883.112,2.326,0.028
884.695,2.325,0.027
886.278,2.324,0.027
887.861,2.323,0.027
889.444,2.322,0.027
891.026,2.320,0.027
892.608,2.319,0.027
894.191,2.318,0.027
895.773,2.317,0.027
897.355,2.316,0.027
898.937,2.315,0.027
900.519,2.314,0.027
902.101,2.313,0.026
903.682,2.312,0.026
905.264,2.311,0.026
906.845,2.310,0.026
908.427,2.309,0.026
910.008,2.308,0.026
911.589,2.307,0.026
913.170,2.306,0.026
914.751,2.305,0.026
916.332,2.305,0.026
917.913,2.304,0.026
919.493,2.303,0.026
921.074,2.302,0.026
922.654,2.301,0.026
924.234,2.300,0.026
925.814,2.299,0.026
927.394,2.298,0.026
928.974,2.298,0.026
930.554,2.297,0.026
932.134,2.296,0.026
933.713,2.295,0.026
935.293,2.294,0.026
936.872,2.293,0.026
938.451,2.293,0.026
940.030,2.292,0.026
941.609,2.291,0.026
943.188,2.290,0.026
944.767,2.290,0.026
946.345,2.289,0.026
947.924,2.288,0.026
949.502,2.287,0.026
951.080,2.287,0.026
952.659,2.286,0.026
954.237,2.285,0.026
955.815,2.285,0.026
957.392,2.284,0.026
958.970,2.283,0.026
960.548,2.283,0.026
962.125,2.282,0.026
963.702,2.281,0.026
965.279,2.281,0.026
966.856,2.280,0.026
968.433,2.279,0.026
970.010,2.279,0.026
971.587,2.278,0.026
973.163,2.277,0.026
974.740,2.277,0.026
976.316,2.276,0.026
977.892,2.275,0.026
979.468,2.275,0.026
981.044,2.274,0.026
982.620,2.274,0.026
984.196,2.273,0.027
985.771,2.273,0.027
987.347,2.272,0.027
988.922,2.271,0.027
990.497,2.271,0.027
992.072,2.270,0.027
993.647,2.270,0.027
995.222,2.269,0.027
996.797,2.269,0.027
998.371,2.268,0.027
999.946,2.268,0.027
1011.693,2.264,0.027
1015.112,2.263,0.027
1018.531,2.262,0.027
1021.951,2.261,0.028
1025.370,2.260,0.028
1028.789,2.259,0.028
1032.208,2.258,0.028
1035.627,2.257,0.028
1039.047,2.256,0.028
1042.466,2.255,0.028
1045.885,2.254,0.028
1049.304,2.253,0.028
1052.724,2.252,0.029
1056.143,2.252,0.029
1059.562,2.251,0.029
1062.982,2.250,0.029
1066.401,2.249,0.029
1069.820,2.248,0.029
1073.240,2.248,0.029
1076.659,2.247,0.029
1080.078,2.246,0.029
1083.498,2.245,0.029
1086.917,2.245,0.030
1090.337,2.244,0.030
1093.756,2.243,0.030
1097.176,2.243,0.030
1100.596,2.242,0.030
1104.015,2.241,0.030
1107.435,2.241,0.030
1110.854,2.240,0.030
1114.274,2.239,0.030
1117.694,2.239,0.030
1121.114,2.238,0.030
1124.533,2.238,0.031
1127.953,2.237,0.031
1131.373,2.236,0.031
1134.793,2.236,0.031
1138.213,2.235,0.031
1141.633,2.235,0.031
1145.054,2.234,0.031
1148.474,2.234,0.031
1151.894,2.233,0.031
1155.314,2.233,0.031
1158.735,2.232,0.031
1162.155,2.232,0.031
1165.576,2.231,0.031
1168.996,2.231,0.032
1172.417,2.230,0.032
1175.838,2.230,0.032
1179.258,2.229,0.032
1182.679,2.229,0.032
1186.100,2.229,0.032
1189.521,2.228,0.032
1192.942,2.228,0.032
1196.364,2.227,0.032
1199.785,2.227,0.032
1203.206,2.226,0.032
1206.628,2.226,0.032
1210.049,2.226,0.032
1213.471,2.225,0.032
1216.892,2.225,0.032
1220.314,2.225,0.032
1223.736,2.224,0.033
1227.158,2.224,0.033
1230.580,2.223,0.033
1234.002,2.223,0.033
1237.424,2.223,0.033
1240.847,2.222,0.033
1244.269,2.222,0.033
1247.692,2.222,0.033
1251.115,2.221,0.033
1254.537,2.221,0.033
1257.960,2.221,0.033
1261.383,2.220,0.033
1264.806,2.220,0.033
1268.230,2.220,0.033
1271.653,2.219,0.033
1275.076,2.219,0.033
1278.500,2.219,0.033
1281.924,2.219,0.033
1285.348,2.218,0.033
1288.772,2.218,0.033
1292.196,2.218,0.033
1295.620,2.217,0.033
1299.044,2.217,0.033
1302.469,2.217,0.033
1305.893,2.217,0.033
1309.318,2.216,0.033
1312.743,2.216,0.033
1316.168,2.216,0.033
1319.593,2.216,0.033
1323.018,2.215,0.033
1326.444,2.215,0.034
1329.870,2.215,0.034
1333.295,2.214,0.034
1336.721,2.214,0.034
1340.147,2.214,0.034
1343.574,2.214,0.034
1347.000,2.214,0.034
1350.426,2.213,0.034
1353.853,2.213,0.034
1357.280,2.213,0.034
1360.707,2.213,0.034
1364.134,2.212,0.034
1367.561,2.212,0.034
1370.989,2.212,0.034
1374.417,2.212,0.034
1377.844,2.212,0.034
1381.272,2.211,0.034
1384.700,2.211,0.034
1388.129,2.211,0.034
1391.557,2.211,0.034
1394.986,2.211,0.034
1398.415,2.210,0.034
1401.844,2.210,0.034
1405.273,2.210,0.034
1408.703,2.210,0.034
1412.132,2.210,0.034
1415.562,2.209,0.034
1418.992,2.209,0.034
1422.422,2.209,0.034
1425.853,2.209,0.034
1429.283,2.209,0.034
1432.714,2.208,0.034
1436.145,2.208,0.034
1439.576,2.208,0.034
1443.008,2.208,0.034
1446.439,2.208,0.034
1449.871,2.208,0.034
1453.303,2.207,0.034
1456.735,2.207,0.034
1460.168,2.207,0.034
1463.600,2.207,0.034
1467.033,2.207,0.034
1470.466,2.207,0.034
1473.899,2.206,0.034
1477.333,2.206,0.034
1480.766,2.206,0.034
1484.200,2.206,0.034
1487.635,2.206,0.034
1491.069,2.206,0.034
1494.503,2.206,0.034
1497.938,2.205,0.034
